score,reason,title,company,location,source,url,posted
0,scoring failed,"Account Executive, Bridge",stripe,London,greenhouse,https://stripe.com/jobs/search?gh_jid=8023928,2026-08-06T12:10:12-04:00
0,scoring failed,"Account Executive, Bridge",stripe,"SF, NYC, SEA, CHI",greenhouse,https://stripe.com/jobs/search?gh_jid=8077887,2026-08-06T12:10:17-04:00
0,scoring failed,"Account Executive, Commercial Grower (Japanese Fluency)",stripe,Japan,greenhouse,https://stripe.com/jobs/search?gh_jid=8042978,2026-08-06T12:10:14-04:00
0,scoring failed,"Account Executive, Commercial Hunter (Japanese Fluency)",stripe,Japan,greenhouse,https://stripe.com/jobs/search?gh_jid=7789539,2026-08-06T12:10:01-04:00
0,scoring failed,"Account Executive, Cross Border China",stripe,Singapore,greenhouse,https://stripe.com/jobs/search?gh_jid=7893199,2026-08-06T12:10:03-04:00
0,scoring failed,"Account Executive - Enterprise, Grower",stripe,"US-Remote, US-San Francisco, US-Chicago, US-New York, US-Seattle, US-Texas",greenhouse,https://stripe.com/jobs/search?gh_jid=7993151,2026-08-06T12:10:10-04:00
0,scoring failed,"Account Executive, Enterprise - Grower",stripe,"US-New York, US-Chicago, US-Atlanta, US-San Francisco, US-Texas",greenhouse,https://stripe.com/jobs/search?gh_jid=7997555,2026-08-06T12:10:10-04:00
0,scoring failed,"Account Executive - Enterprise, Growth",stripe,"US-San Francisco, US-California, US-Chicago",greenhouse,https://stripe.com/jobs/search?gh_jid=7997146,2026-08-06T12:10:10-04:00
0,scoring failed,"Account Executive, Enterprise - Hunter",stripe,"US-San Francisco, US-Chicago, US-New York",greenhouse,https://stripe.com/jobs/search?gh_jid=7994330,2026-08-06T12:10:10-04:00
0,scoring failed,"Account Executive, Enterprise Hunter (DACH Market)",stripe,Germany ,greenhouse,https://stripe.com/jobs/search?gh_jid=7825578,2026-08-06T12:10:02-04:00
0,scoring failed,"Account Executive, Enterprise Hunter (French fluency)",stripe,Paris,greenhouse,https://stripe.com/jobs/search?gh_jid=7458833,2026-08-06T12:09:57-04:00
0,scoring failed,"Account Executive, Enterprise Hunter (Japanese fluency)",stripe,Tokyo,greenhouse,https://stripe.com/jobs/search?gh_jid=7528816,2026-08-06T12:09:57-04:00
0,scoring failed,"Account Executive, Enterprise Platforms (Grower)",stripe,"San Francisco, CA; Chicago, IL & New York, NY",greenhouse,https://stripe.com/jobs/search?gh_jid=7576967,2026-08-06T12:09:59-04:00
0,scoring failed,"Account Executive, Enterprise Platforms, Hunter",stripe,"New York, NY; San Francisco, CA; Seattle, WA; Chicago, IL",greenhouse,https://stripe.com/jobs/search?gh_jid=7961609,2026-08-06T12:10:08-04:00
0,scoring failed,"Account Executive, Enterprise Platforms, Hunter",stripe,"Chicago, IL",greenhouse,https://stripe.com/jobs/search?gh_jid=8077971,2026-08-06T15:27:48-04:00
0,scoring failed,"Account Executive, Enterprise Platforms, Tier 2 Grower",stripe,"New York, NY; San Francisco, CA",greenhouse,https://stripe.com/jobs/search?gh_jid=8041894,2026-08-06T12:10:14-04:00
0,scoring failed,"Account Executive, Enterprise Platforms, Tier 2 Grower",stripe,"San Francisco, CA",greenhouse,https://stripe.com/jobs/search?gh_jid=8075473,2026-08-06T12:10:16-04:00
0,scoring failed,"Account Executive, Existing Business",stripe,London,greenhouse,https://stripe.com/jobs/search?gh_jid=8114155,2026-08-07T11:44:52-04:00
0,scoring failed,"Account Executive, Existing Business, Platforms",stripe,"New York, NY",greenhouse,https://stripe.com/jobs/search?gh_jid=7922618,2026-08-06T12:10:06-04:00
0,scoring failed,"Account Executive, Financial Services, Grower",stripe,London,greenhouse,https://stripe.com/jobs/search?gh_jid=8048193,2026-08-06T12:10:14-04:00
0,scoring failed,"Account Executive, Funded Startups - Expansion",stripe,San Francisco,greenhouse,https://stripe.com/jobs/search?gh_jid=8024368,2026-08-06T12:10:12-04:00
0,scoring failed,"Account Executive, Mid Market (Hunter)",stripe,Chicago,greenhouse,https://stripe.com/jobs/search?gh_jid=7863714,2026-08-06T12:10:03-04:00
0,scoring failed,"Account Executive, Platforms",stripe,London,greenhouse,https://stripe.com/jobs/search?gh_jid=7451366,2026-08-06T12:09:57-04:00
0,scoring failed,"Account Executive, Platforms (Hunter)",stripe,US-Remote ,greenhouse,https://stripe.com/jobs/search?gh_jid=7298935,2026-08-06T12:09:55-04:00
0,scoring failed,"Account Executive, Platforms Hunter (French fluency)",stripe,"Paris, France",greenhouse,https://stripe.com/jobs/search?gh_jid=7857010,2026-08-06T12:10:02-04:00
0,scoring failed,"Account Executive, Product - Link",stripe,"NYC, SF",greenhouse,https://stripe.com/jobs/search?gh_jid=8049828,2026-08-06T12:10:14-04:00
0,scoring failed,"Account Executive, Product (Link and Financial Connections)",stripe,"SF, NYC, CHI, SEA",greenhouse,https://stripe.com/jobs/search?gh_jid=8047510,2026-08-06T12:10:14-04:00
0,scoring failed,"Account Executive, Product Sales (Billing)",stripe,US-NYC,greenhouse,https://stripe.com/jobs/search?gh_jid=7984339,2026-08-06T12:10:10-04:00
0,scoring failed,"Account Executive, Product Sales, Billing",stripe,"South San Francisco, CA; New York, NY; Seattle, WA; Chicago, IL; Atlanta, GA; Washington DC",greenhouse,https://stripe.com/jobs/search?gh_jid=7393169,2026-08-06T12:09:56-04:00
0,scoring failed,"Account Executive, Product Sales - Capital",stripe,"SF, NYC, SEA, CHI",greenhouse,https://stripe.com/jobs/search?gh_jid=7728365,2026-08-06T12:10:01-04:00
0,scoring failed,"Account Executive, Product Sales - Issuing and Treasury",stripe,"SF, NYC, remote",greenhouse,https://stripe.com/jobs/search?gh_jid=7456716,2026-08-06T12:09:57-04:00
0,scoring failed,"Account Executive, Product Sales-  Money Management ANZ",stripe,Sydney,greenhouse,https://stripe.com/jobs/search?gh_jid=8068744,2026-08-06T12:10:16-04:00
0,scoring failed,"Account Executive, Product Sales - Money Management  ASEAN",stripe,Singapore,greenhouse,https://stripe.com/jobs/search?gh_jid=8068746,2026-08-06T12:10:16-04:00
0,scoring failed,"Account Executive, Product Sales - Optimised Checkout",stripe,London,greenhouse,https://stripe.com/jobs/search?gh_jid=8040940,2026-08-06T12:10:13-04:00
0,scoring failed,"Account Executive, Product Sales (Tax)",stripe,Singapore,greenhouse,https://stripe.com/jobs/search?gh_jid=8040876,2026-08-06T12:10:14-04:00
0,scoring failed,"Account Executive, Scaled (Grower)",stripe,Chicago,greenhouse,https://stripe.com/jobs/search?gh_jid=8095679,2026-08-06T12:10:18-04:00
0,scoring failed,"Account Executive, SMB (Grower)",stripe,Chicago,greenhouse,https://stripe.com/jobs/search?gh_jid=7866501,2026-08-06T12:10:03-04:00
0,scoring failed,"Account Executive, SMB (Hunter)",stripe,Chicago and NYC,greenhouse,https://stripe.com/jobs/search?gh_jid=7277406,2026-08-06T12:09:55-04:00
0,scoring failed,"Account Executive, SMB (Hunter)",stripe,NYC,greenhouse,https://stripe.com/jobs/search?gh_jid=7931247,2026-08-06T12:10:07-04:00
0,scoring failed,"Account Executive, Startup Platforms",stripe,San Francisco,greenhouse,https://stripe.com/jobs/search?gh_jid=7891728,2026-08-06T12:10:03-04:00
0,scoring failed,"Account Executive - Startups, Hunter ANZ",stripe,Sydney Or Melbourne,greenhouse,https://stripe.com/jobs/search?gh_jid=8040874,2026-08-06T12:10:13-04:00
0,scoring failed,"Account Executive, Startups Hunter (India)",stripe,Bengaluru,greenhouse,https://stripe.com/jobs/search?gh_jid=7597490,2026-08-06T12:09:59-04:00
0,scoring failed,"Account Executive, Strategic Platform Partnerships",stripe,"San Francisco, CA",greenhouse,https://stripe.com/jobs/search?gh_jid=8060387,2026-08-06T12:10:15-04:00
0,scoring failed,"Account Executive, Strategics",stripe,"San Francisco, Seattle ",greenhouse,https://stripe.com/jobs/search?gh_jid=8110261,2026-08-06T12:45:57-04:00
0,scoring failed,Accounting AI Solutions Lead,stripe,"Seattle, San Francisco, New York",greenhouse,https://stripe.com/jobs/search?gh_jid=8103750,2026-08-06T12:10:19-04:00
0,scoring failed,"Account Manager, Privy",stripe,New York,greenhouse,https://stripe.com/jobs/search?gh_jid=8064702,2026-08-06T12:10:15-04:00
0,scoring failed,Accounts Receivable Manager,stripe,Bengaluru,greenhouse,https://stripe.com/jobs/search?gh_jid=7118945,2026-08-06T12:09:53-04:00
0,scoring failed,Administrative Business Partner,stripe,SF,greenhouse,https://stripe.com/jobs/search?gh_jid=8081673,2026-08-06T12:10:17-04:00
0,scoring failed,Administrative Business Partner,stripe,"Chicago, US-Remote",greenhouse,https://stripe.com/jobs/search?gh_jid=8081670,2026-08-06T12:10:17-04:00
0,scoring failed,"Administrative Business Partner, Office of the CEO",stripe,San Francisco,greenhouse,https://stripe.com/jobs/search?gh_jid=8050878,2026-08-06T12:10:14-04:00
0,scoring failed,Administrative Coordinator,stripe,Bengaluru,greenhouse,https://stripe.com/jobs/search?gh_jid=7863507,2026-08-06T12:10:03-04:00
0,scoring failed,AEO and GEO Marketing Manager,stripe,Remote in the US,greenhouse,https://stripe.com/jobs/search?gh_jid=7844214,2026-08-06T12:10:02-04:00
0,scoring failed,AI Engineer,stripe,Chicago,greenhouse,https://stripe.com/jobs/search?gh_jid=8044460,2026-08-06T12:10:14-04:00
0,scoring failed,"AI Product Manager, Professional Services",stripe,New York/ San Francisco,greenhouse,https://stripe.com/jobs/search?gh_jid=8064526,2026-08-06T12:10:01-04:00
0,scoring failed,"AI Specialist, Treasury Finance Operations",stripe,IN-Bengaluru,greenhouse,https://stripe.com/jobs/search?gh_jid=7947074,2026-08-06T12:10:08-04:00
0,scoring failed,"Analyst, Product Pricing",stripe,Toronto,greenhouse,https://stripe.com/jobs/search?gh_jid=7896404,2026-08-06T12:10:03-04:00
0,scoring failed,Android BSP Engineer,stripe,"Taipei, Taiwan",greenhouse,https://stripe.com/jobs/search?gh_jid=8074125,2026-08-06T12:10:16-04:00
0,scoring failed,"Android Engineer, Dev Productivity",stripe,"Taipei,Taiwan",greenhouse,https://stripe.com/jobs/search?gh_jid=8074127,2026-08-06T12:10:16-04:00
0,scoring failed,"Android Engineer, Terminal",stripe,Toronto,greenhouse,https://stripe.com/jobs/search?gh_jid=7543559,2026-08-06T12:09:58-04:00
